TVnews,self,Congress_approach,BJP_approach,PID,age,education,income,vote
1,3,5,3,5,25,5,21,0
1,6,5,1,1,33,3,21,0
7,4,6,3,0,45,3,22,0
3,5,2,7,5,42,6,22,0
3,3,3,6,2,47,6,22,0
7,6,1,6,6,51,7,22,1
7,5,4,6,5,85,2,22,0
4,3,3,6,2,32,7,22,0
7,3,3,6,2,31,7,22,0
2,4,3,6,2,23,6,22,0
3,3,3,6,0,42,6,22,0
5,6,2,5,5,55,6,22,1
7,6,2,6,6,45,6,22,1
1,6,2,5,6,35,7,22,1
0,2,4,6,0,45,6,22,0
0,3,3,5,2,42,3,22,0
1,6,2,6,5,37,4,22,1
0,4,4,4,5,38,3,22,1
3,2,2,6,1,47,7,22,0
7,4,2,6,2,32,6,22,0
2,5,2,6,5,35,6,22,1
6,4,2,6,5,38,4,22,1
0,4,4,4,3,40,3,22,0
7,6,2,5,6,62,6,22,1
2,2,2,6,1,28,7,22,0
6,6,2,5,6,59,5,22,1
2,1,2,6,0,25,6,22,0
2,4,2,6,6,31,6,22,1
1,7,2,6,6,45,4,22,1
0,5,2,7,5,42,6,22,0
3,2,2,5,1,56,7,22,0
5,3,3,6,1,47,7,22,0
1,6,2,5,5,38,6,22,1
7,4,3,7,2,47,6,22,0
1,5,2,6,6,49,4,22,1
3,3,3,6,2,29,7,22,0
7,2,2,6,0,57,6,22,0
4,6,3,5,6,68,3,22,1
7,2,2,4,0,76,6,22,0
4,6,2,6,5,66,6,22,1
7,5,1,6,4,59,4,22,1
7,5,3,6,4,37,7,22,0
2,5,2,6,6,38,6,22,1
7,6,2,6,5,47,7,22,1
1,5,2,4,5,36,7,22,1
0,5,4,6,0,45,7,22,0
6,5,2,6,5,39,7,22,1
1,3,2,6,1,34,6,22,0
3,6,6,4,0,49,4,22,0
2,6,2,6,5,36,6,22,1
7,6,1,6,6,81,5,22,1
1,5,2,6,4,29,4,22,1
3,5,3,4,0,45,6,22,0
3,5,2,6,5,21,4,22,1
7,2,4,3,6,33,6,22,1
7,4,4,2,2,44,3,23,0
1,2,2,6,4,52,7,23,0
2,3,5,7,1,38,4,23,0
4,2,3,6,2,44,5,23,0
7,6,2,6,6,87,7,23,1
2,7,2,6,5,22,3,23,1
0,3,3,5,2,32,6,23,1
0,4,5,6,4,69,3,23,0
2,6,2,5,6,49,6,23,1
0,6,2,6,6,53,3,23,1
0,6,1,6,5,44,6,23,1
1,6,2,7,5,34,6,23,1
1,6,1,5,5,55,7,23,1
2,3,3,6,0,35,6,23,0
7,4,5,5,3,55,3,23,0
3,6,3,5,5,27,6,23,1
3,4,4,5,1,26,6,23,0
7,4,2,6,5,54,6,23,0
0,5,2,6,5,42,4,23,1
5,6,1,6,6,57,7,23,1
0,7,1,4,6,54,6,23,1
6,6,3,6,6,55,6,23,1
7,5,3,6,6,50,7,23,1
0,5,5,6,1,57,7,23,0
3,5,3,7,3,46,4,23,0
7,6,2,6,6,53,6,23,1
2,3,3,5,0,32,7,23,0
5,5,2,5,3,53,5,23,1
3,3,3,6,1,39,6,23,0
1,5,2,5,4,47,6,23,1
7,5,2,4,2,57,4,23,0
5,6,3,6,6,49,6,23,1
1,5,4,6,5,31,5,23,0
5,5,3,5,5,43,6,23,1
2,5,2,5,4,44,6,23,1
4,4,3,6,0,39,6,23,0
2,6,1,6,5,49,4,23,1
7,5,4,6,4,72,6,23,1
7,5,2,6,5,50,6,23,1
1,5,2,6,6,28,4,23,1
0,5,2,7,3,48,7,23,1
1,3,4,7,1,32,6,23,0
7,5,5,5,1,63,4,23,0
4,4,5,6,5,36,4,23,1
7,6,3,6,6,36,6,23,1
7,3,2,7,2,53,3,23,0
5,2,2,6,2,44,7,23,0
0,4,2,6,6,41,7,24,1
0,2,3,6,1,56,7,24,0
4,4,4,6,2,63,7,24,0
7,2,4,6,0,52,6,24,0
7,3,3,7,2,43,7,24,0
7,4,3,6,2,40,3,24,0
5,5,1,7,4,69,4,24,1
7,2,2,6,0,49,7,24,0
1,3,3,6,2,65,7,24,0
5,6,1,6,5,53,7,24,1
5,5,3,5,6,50,4,24,1
3,2,4,6,0,27,5,24,0
6,5,3,5,5,44,6,24,1
2,2,3,5,0,54,7,24,0
7,4,2,6,4,33,5,24,1
0,4,4,6,3,48,7,24,0
3,5,2,6,5,54,5,24,1
0,6,2,5,6,56,3,24,1
1,2,4,7,2,34,7,24,0
7,6,4,7,6,41,6,24,0
0,5,1,5,6,40,6,24,1
1,7,2,6,6,55,6,24,1
0,4,3,5,5,38,6,24,1
3,6,2,6,6,40,6,24,1
1,6,1,6,6,46,4,24,1
4,3,3,4,0,26,6,24,0
0,5,2,7,3,49,6,24,0
7,4,1,5,6,51,5,24,1
2,5,2,6,4,46,6,24,0
0,3,4,6,2,40,7,24,0
0,3,4,7,2,30,5,24,0
3,2,3,6,2,45,5,24,0
7,5,4,6,4,52,7,24,1
0,6,1,5,6,36,6,24,1
0,4,3,5,3,49,6,24,0
7,3,4,5,1,38,7,24,0
0,2,4,6,1,51,7,24,0
3,3,2,5,1,47,6,24,0
1,6,1,5,6,52,7,24,1
0,6,2,6,6,33,6,24,1
4,4,2,6,6,50,4,24,1
7,6,2,5,4,48,7,24,1
3,2,2,6,0,36,6,24,0
3,2,3,6,1,35,7,24,0
7,7,3,5,4,34,7,24,0
7,2,4,5,2,53,6,24,0
0,4,3,6,2,33,7,24,0
1,6,3,6,6,52,6,24,1
3,4,3,6,4,44,7,24,0
0,3,4,4,0,48,6,24,0
3,5,2,6,5,20,4,24,1
5,3,2,4,6,45,6,24,1
7,4,2,6,2,70,3,24,0
0,3,3,4,2,39,3,24,0
7,3,3,5,1,40,7,24,1
4,5,2,7,5,62,6,24,1
7,5,2,6,4,46,6,24,1
7,4,4,7,2,46,3,24,0
7,4,2,5,6,56,7,24,1
7,6,3,6,6,55,7,24,1
7,6,2,6,6,41,4,24,1
1,2,3,6,0,43,7,24,0
7,7,1,7,6,34,3,24,1
7,7,1,6,4,73,6,24,1
7,5,2,6,6,50,6,24,1
3,6,2,7,5,43,6,24,1
6,6,2,5,6,46,7,24,1
7,4,2,6,3,61,7,24,1
